feature,label_horizon,metric,value,samples
ADX14,future_return_12,q_bottom_wr,0.444030,268
ADX14,future_return_12,rolling_mean_50,0.081166,0
ADX14,future_return_12,rolling_std_50,0.451173,0
ADX14,future_return_12,rolling_stability_50,0.565299,0
ADX14,future_return_12,rolling_mean_100,0.024699,0
ADX14,future_return_12,rolling_std_100,0.324110,0
ADX14,future_return_12,rolling_stability_100,0.560448,0
ADX14,future_return_12,rolling_mean_200,-0.017517,0
ADX14,future_return_12,rolling_std_200,0.205732,0
ADX14,future_return_12,rolling_stability_200,0.485448,0
ADX14,future_return_12,regime_trending_low_vol,0.216741,480
ADX14,future_return_12,regime_trending_high_vol,0.097422,324
ADX14,future_return_12,regime_ranging_high_vol,0.112008,480
ADX14,future_return_12,regime_ranging_low_vol,0.011569,1396
ADX14,future_return_24,pearson,-0.067279,2680
ADX14,future_return_24,spearman,-0.062144,2680
ADX14,future_return_24,q_top_pf,0.513133,268
ADX14,future_return_24,q_top_wr,0.470149,268
ADX14,future_return_24,q_bottom_pf,0.563109,268
ADX14,future_return_24,q_bottom_wr,0.458955,268
ADX14,future_return_24,rolling_mean_50,0.075283,0
ADX14,future_return_24,rolling_std_50,0.539289,0
ADX14,future_return_24,rolling_stability_50,0.537313,0
ADX14,future_return_24,rolling_mean_100,0.035349,0
ADX14,future_return_24,rolling_std_100,0.409780,0
ADX14,future_return_24,rolling_stability_100,0.526866,0
ADX14,future_return_24,rolling_mean_200,-0.011615,0
ADX14,future_return_24,rolling_std_200,0.258105,0
ADX14,future_return_24,rolling_stability_200,0.549254,0
ADX14,future_return_24,regime_trending_low_vol,0.230158,480
ADX14,future_return_24,regime_trending_high_vol,0.006265,324
ADX14,future_return_24,regime_ranging_high_vol,0.188146,480
ADX14,future_return_24,regime_ranging_low_vol,-0.103977,1396
ADX14,,decay_peak,0.064711,0
ADX14,,decay_avg,0.041360,0
ADX14,,decay_rate,-0.024334,0
ADX14,,decay_persistence,0.016043,0
VolumeEMA20,future_return_4,pearson,0.003458,2680
VolumeEMA20,future_return_4,spearman,-0.049467,2680
VolumeEMA20,future_return_4,q_top_pf,0.821584,268
VolumeEMA20,future_return_4,q_top_wr,0.436567,268
VolumeEMA20,future_return_4,q_bottom_pf,1.090500,268
VolumeEMA20,future_return_4,q_bottom_wr,0.511194,268
VolumeEMA20,future_return_4,rolling_mean_50,0.093366,0
VolumeEMA20,future_return_4,rolling_std_50,0.265587,0
VolumeEMA20,future_return_4,rolling_stability_50,0.661567,0
VolumeEMA20,future_return_4,rolling_mean_100,0.076174,0
VolumeEMA20,future_return_4,rolling_std_100,0.171920,0
VolumeEMA20,future_return_4,rolling_stability_100,0.692910,0
VolumeEMA20,future_return_4,rolling_mean_200,0.044515,0
VolumeEMA20,future_return_4,rolling_std_200,0.137527,0
VolumeEMA20,future_return_4,rolling_stability_200,0.647015,0
VolumeEMA20,future_return_4,regime_trending_low_vol,-0.051150,480
VolumeEMA20,future_return_4,regime_trending_high_vol,0.160484,324
VolumeEMA20,future_return_4,regime_ranging_high_vol,0.105104,480
VolumeEMA20,future_return_4,regime_ranging_low_vol,-0.011433,1396
VolumeEMA20,future_return_12,pearson,-0.074582,2680
VolumeEMA20,future_return_12,spearman,-0.101096,2680
VolumeEMA20,future_return_12,q_top_pf,0.583887,268
VolumeEMA20,future_return_12,q_top_wr,0.395522,268
VolumeEMA20,future_return_12,q_bottom_pf,1.112047,268
VolumeEMA20,future_return_12,q_bottom_wr,0.541045,268
VolumeEMA20,future_return_12,rolling_mean_50,0.095604,0
VolumeEMA20,future_return_12,rolling_std_50,0.400740,0
VolumeEMA20,future_return_12,rolling_stability_50,0.600373,0
VolumeEMA20,future_return_12,rolling_mean_100,0.085853,0
VolumeEMA20,future_return_12,rolling_std_100,0.281212,0
VolumeEMA20,future_return_12,rolling_stability_100,0.674627,0
VolumeEMA20,future_return_12,rolling_mean_200,0.043804,0
VolumeEMA20,future_return_12,rolling_std_200,0.200750,0
VolumeEMA20,future_return_12,rolling_stability_200,0.702985,0
VolumeEMA20,future_return_12,regime_trending_low_vol,-0.059205,480
VolumeEMA20,future_return_12,regime_trending_high_vol,0.120572,324
VolumeEMA20,future_return_12,regime_ranging_high_vol,0.033509,480
VolumeEMA20,future_return_12,regime_ranging_low_vol,-0.065569,1396
VolumeEMA20,future_return_24,pearson,-0.137003,2680
VolumeEMA20,future_return_24,spearman,-0.132553,2680
VolumeEMA20,future_return_24,q_top_pf,0.525771,268
VolumeEMA20,future_return_24,q_top_wr,0.373134,268
VolumeEMA20,future_return_24,q_bottom_pf,1.073033,268
VolumeEMA20,future_return_24,q_bottom_wr,0.570896,268
VolumeEMA20,future_return_24,rolling_mean_50,0.084160,0
VolumeEMA20,future_return_24,rolling_std_50,0.503752,0
VolumeEMA20,future_return_24,rolling_stability_50,0.573134,0
VolumeEMA20,future_return_24,rolling_mean_100,0.095963,0
VolumeEMA20,future_return_24,rolling_std_100,0.379956,0
VolumeEMA20,future_return_24,rolling_stability_100,0.638060,0
VolumeEMA20,future_return_24,rolling_mean_200,0.050419,0
VolumeEMA20,future_return_24,rolling_std_200,0.276667,0
VolumeEMA20,future_return_24,rolling_stability_200,0.677612,0
VolumeEMA20,future_return_24,regime_trending_low_vol,-0.018656,480
VolumeEMA20,future_return_24,regime_trending_high_vol,0.074064,324
VolumeEMA20,future_return_24,regime_ranging_high_vol,0.127178,480
VolumeEMA20,future_return_24,regime_ranging_low_vol,-0.123231,1396
VolumeEMA20,,decay_peak,0.134778,0
VolumeEMA20,,decay_avg,0.083027,0
VolumeEMA20,,decay_rate,-0.054158,0
VolumeEMA20,,decay_persistence,0.026463,0
PriceAboveEMA20,future_return_4,pearson,-0.038372,2680
PriceAboveEMA20,future_return_4,spearman,-0.049117,2680
PriceAboveEMA20,future_return_4,q_top_pf,0.388703,268
PriceAboveEMA20,future_return_4,q_top_wr,0.402985,268
PriceAboveEMA20,future_return_4,q_bottom_pf,0.674034,268
PriceAboveEMA20,future_return_4,q_bottom_wr,0.481343,268
PriceAboveEMA20,future_return_4,rolling_mean_50,-0.174506,0
PriceAboveEMA20,future_return_4,rolling_std_50,0.198296,0
PriceAboveEMA20,future_return_4,rolling_stability_50,0.810448,0
PriceAboveEMA20,future_return_4,rolling_mean_100,-0.118987,0
PriceAboveEMA20,future_return_4,rolling_std_100,0.169850,0
PriceAboveEMA20,future_return_4,rolling_stability_100,0.774254,0
PriceAboveEMA20,future_return_4,rolling_mean_200,-0.095100,0
PriceAboveEMA20,future_return_4,rolling_std_200,0.160952,0
PriceAboveEMA20,future_return_4,rolling_stability_200,0.752612,0
PriceAboveEMA20,future_return_4,regime_trending_low_vol,0.039034,480
PriceAboveEMA20,future_return_4,regime_trending_high_vol,-0.037181,324
PriceAboveEMA20,future_return_4,regime_ranging_high_vol,-0.124421,480
PriceAboveEMA20,future_return_4,regime_ranging_low_vol,-0.058573,1396
PriceAboveEMA20,future_return_12,pearson,-0.024591,2680
PriceAboveEMA20,future_return_12,spearman,-0.053831,2680
