feature,label_horizon,metric,value,samples
VolumeEMA20,future_return_4,rolling_mean_200,0.020400,0
VolumeEMA20,future_return_4,rolling_std_200,0.159291,0
VolumeEMA20,future_return_4,rolling_stability_200,0.567558,0
VolumeEMA20,future_return_4,regime_trending_low_vol,-0.061977,574
VolumeEMA20,future_return_4,regime_trending_high_vol,-0.171043,268
VolumeEMA20,future_return_4,regime_ranging_high_vol,0.061399,574
VolumeEMA20,future_return_4,regime_ranging_low_vol,0.195594,1389
VolumeEMA20,future_return_12,pearson,-0.006600,2805
VolumeEMA20,future_return_12,spearman,-0.028294,2805
VolumeEMA20,future_return_12,q_top_pf,2.505683,280
VolumeEMA20,future_return_12,q_top_wr,0.517857,280
VolumeEMA20,future_return_12,q_bottom_pf,0.287674,281
VolumeEMA20,future_return_12,q_bottom_wr,0.530249,281
VolumeEMA20,future_return_12,rolling_mean_50,0.025268,0
VolumeEMA20,future_return_12,rolling_std_50,0.365957,0
VolumeEMA20,future_return_12,rolling_stability_50,0.505169,0
VolumeEMA20,future_return_12,rolling_mean_100,0.052573,0
VolumeEMA20,future_return_12,rolling_std_100,0.284102,0
VolumeEMA20,future_return_12,rolling_stability_100,0.494474,0
VolumeEMA20,future_return_12,rolling_mean_200,0.045315,0
VolumeEMA20,future_return_12,rolling_std_200,0.249777,0
VolumeEMA20,future_return_12,rolling_stability_200,0.471658,0
VolumeEMA20,future_return_12,regime_trending_low_vol,0.109159,574
VolumeEMA20,future_return_12,regime_trending_high_vol,-0.211349,268
VolumeEMA20,future_return_12,regime_ranging_high_vol,0.063323,574
VolumeEMA20,future_return_12,regime_ranging_low_vol,0.106101,1389
VolumeEMA20,future_return_24,pearson,0.131679,2805
VolumeEMA20,future_return_24,spearman,0.030942,2805
VolumeEMA20,future_return_24,q_top_pf,4.193877,280
VolumeEMA20,future_return_24,q_top_wr,0.607143,280
VolumeEMA20,future_return_24,q_bottom_pf,0.240760,281
VolumeEMA20,future_return_24,q_bottom_wr,0.633452,281
VolumeEMA20,future_return_24,rolling_mean_50,0.024930,0
VolumeEMA20,future_return_24,rolling_std_50,0.404165,0
VolumeEMA20,future_return_24,rolling_stability_50,0.519073,0
VolumeEMA20,future_return_24,rolling_mean_100,0.049930,0
VolumeEMA20,future_return_24,rolling_std_100,0.341184,0
VolumeEMA20,future_return_24,rolling_stability_100,0.521925,0
VolumeEMA20,future_return_24,rolling_mean_200,0.047167,0
VolumeEMA20,future_return_24,rolling_std_200,0.328716,0
VolumeEMA20,future_return_24,rolling_stability_200,0.503743,0
VolumeEMA20,future_return_24,regime_trending_low_vol,0.410743,574
VolumeEMA20,future_return_24,regime_trending_high_vol,-0.137934,268
VolumeEMA20,future_return_24,regime_ranging_high_vol,0.059600,574
VolumeEMA20,future_return_24,regime_ranging_low_vol,0.059853,1389
VolumeEMA20,,decay_peak,0.081310,0
VolumeEMA20,,decay_avg,0.044944,0
VolumeEMA20,,decay_rate,-0.022618,0
VolumeEMA20,,decay_persistence,0.017447,0
PriceAboveEMA20,future_return_4,pearson,-0.009813,2805
PriceAboveEMA20,future_return_4,spearman,-0.098839,2805
PriceAboveEMA20,future_return_4,q_top_pf,0.962601,280
PriceAboveEMA20,future_return_4,q_top_wr,0.464286,280
PriceAboveEMA20,future_return_4,q_bottom_pf,3.014504,281
PriceAboveEMA20,future_return_4,q_bottom_wr,0.583630,281
PriceAboveEMA20,future_return_4,rolling_mean_50,-0.265073,0
PriceAboveEMA20,future_return_4,rolling_std_50,0.298952,0
PriceAboveEMA20,future_return_4,rolling_stability_50,0.783601,0
PriceAboveEMA20,future_return_4,rolling_mean_100,-0.196368,0
PriceAboveEMA20,future_return_4,rolling_std_100,0.273830,0
PriceAboveEMA20,future_return_4,rolling_stability_100,0.727629,0
PriceAboveEMA20,future_return_4,rolling_mean_200,-0.145783,0
PriceAboveEMA20,future_return_4,rolling_std_200,0.256495,0
PriceAboveEMA20,future_return_4,rolling_stability_200,0.669519,0
PriceAboveEMA20,future_return_4,regime_trending_low_vol,-0.082688,574
PriceAboveEMA20,future_return_4,regime_trending_high_vol,0.079084,268
PriceAboveEMA20,future_return_4,regime_ranging_high_vol,0.024518,574
PriceAboveEMA20,future_return_4,regime_ranging_low_vol,0.001700,1389
PriceAboveEMA20,future_return_12,pearson,-0.020882,2805
PriceAboveEMA20,future_return_12,spearman,-0.091744,2805
PriceAboveEMA20,future_return_12,q_top_pf,0.946166,280
PriceAboveEMA20,future_return_12,q_top_wr,0.507143,280
PriceAboveEMA20,future_return_12,q_bottom_pf,5.589590,281
PriceAboveEMA20,future_return_12,q_bottom_wr,0.615658,281
PriceAboveEMA20,future_return_12,rolling_mean_50,-0.317960,0
PriceAboveEMA20,future_return_12,rolling_std_50,0.313325,0
PriceAboveEMA20,future_return_12,rolling_stability_50,0.798930,0
PriceAboveEMA20,future_return_12,rolling_mean_100,-0.225535,0
PriceAboveEMA20,future_return_12,rolling_std_100,0.277950,0
PriceAboveEMA20,future_return_12,rolling_stability_100,0.758645,0
PriceAboveEMA20,future_return_12,rolling_mean_200,-0.157806,0
PriceAboveEMA20,future_return_12,rolling_std_200,0.243587,0
PriceAboveEMA20,future_return_12,rolling_stability_200,0.668093,0
PriceAboveEMA20,future_return_12,regime_trending_low_vol,-0.161503,574
PriceAboveEMA20,future_return_12,regime_trending_high_vol,0.093026,268
PriceAboveEMA20,future_return_12,regime_ranging_high_vol,0.040235,574
PriceAboveEMA20,future_return_12,regime_ranging_low_vol,0.038463,1389
PriceAboveEMA20,future_return_24,pearson,-0.088387,2805
PriceAboveEMA20,future_return_24,spearman,-0.066490,2805
PriceAboveEMA20,future_return_24,q_top_pf,1.224890,280
PriceAboveEMA20,future_return_24,q_top_wr,0.557143,280
PriceAboveEMA20,future_return_24,q_bottom_pf,9.018427,281
PriceAboveEMA20,future_return_24,q_bottom_wr,0.601423,281
PriceAboveEMA20,future_return_24,rolling_mean_50,-0.354640,0
PriceAboveEMA20,future_return_24,rolling_std_50,0.297284,0
PriceAboveEMA20,future_return_24,rolling_stability_50,0.840998,0
PriceAboveEMA20,future_return_24,rolling_mean_100,-0.280527,0
PriceAboveEMA20,future_return_24,rolling_std_100,0.254860,0
PriceAboveEMA20,future_return_24,rolling_stability_100,0.842781,0
PriceAboveEMA20,future_return_24,rolling_mean_200,-0.208327,0
PriceAboveEMA20,future_return_24,rolling_std_200,0.209328,0
PriceAboveEMA20,future_return_24,rolling_stability_200,0.821034,0
PriceAboveEMA20,future_return_24,regime_trending_low_vol,-0.279910,574
PriceAboveEMA20,future_return_24,regime_trending_high_vol,0.003078,268
PriceAboveEMA20,future_return_24,regime_ranging_high_vol,0.041590,574
PriceAboveEMA20,future_return_24,regime_ranging_low_vol,-0.024488,1389
PriceAboveEMA20,,decay_peak,0.077439,0
PriceAboveEMA20,,decay_avg,0.062693,0
PriceAboveEMA20,,decay_rate,-0.011556,0
PriceAboveEMA20,,decay_persistence,0.054326,0
PriceAboveEMA50,future_return_4,pearson,-0.029879,2805
PriceAboveEMA50,future_return_4,spearman,-0.092567,2805
PriceAboveEMA50,future_return_4,q_top_pf,1.079232,280
PriceAboveEMA50,future_return_4,q_top_wr,0.471429,280
PriceAboveEMA50,future_return_4,q_bottom_pf,2.952903,281
PriceAboveEMA50,future_return_4,q_bottom_wr,0.590747,281
PriceAboveEMA50,future_return_4,rolling_mean_50,-0.246992,0
PriceAboveEMA50,future_return_4,rolling_std_50,0.301039,0
PriceAboveEMA50,future_return_4,rolling_stability_50,0.700535,0
PriceAboveEMA50,future_return_4,rolling_mean_100,-0.199476,0
